               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10485,            0.015442,            0.026346,           0.0038492,             0.77496,            0.028477,           0.0069374,            0.081417,            0.013502,           0.0047582,            0.070405,           0.0032883,           0.0032883
                   1,            0.074549,            0.015458,           0.0045018,             0.19064,             0.28765,              0.1244,             0.02864,            0.069121,            0.010317,           0.0027148,             0.03975,           0.0059661,           0.0059661
                   2,            0.069264,            0.012976,           0.0035047,             0.53845,              0.4247,             0.43959,             0.16982,            0.068623,           0.0090399,           0.0027338,           0.0084343,           0.0079839,           0.0079839
                   3,            0.062298,            0.012163,           0.0031665,              0.5318,             0.58714,             0.49536,             0.17897,            0.051255,           0.0084117,           0.0021062,             0.00703,             0.00703,             0.00703
                   4,            0.057636,            0.010805,           0.0024367,             0.69084,             0.65033,             0.64605,             0.26134,            0.049555,           0.0073787,           0.0019376,             0.00703,             0.00703,             0.00703
                   5,            0.053072,           0.0096204,           0.0020262,             0.75226,             0.69104,             0.74534,             0.28421,            0.045796,           0.0067277,           0.0016716,             0.00604,             0.00604,             0.00604
                   6,            0.048364,           0.0085614,           0.0015395,             0.76068,             0.73012,              0.7977,             0.39146,            0.042128,           0.0061267,           0.0012606,             0.00505,             0.00505,             0.00505
                   7,            0.046075,           0.0084241,           0.0013231,             0.84034,             0.78934,             0.85102,             0.43249,            0.040075,           0.0059542,           0.0010801,             0.00406,             0.00406,             0.00406
                   8,            0.042263,            0.008203,           0.0010286,             0.87118,             0.79611,              0.8694,              0.4803,            0.036551,             0.00567,          0.00083303,             0.00307,             0.00307,             0.00307
                   9,            0.040411,           0.0079669,          0.00086662,             0.86857,             0.80513,             0.86716,             0.46002,            0.036055,           0.0055539,          0.00072564,             0.00208,             0.00208,             0.00208
